timestamp,key-value
1726850074.438389,Key.cmd
1726850074.486552,Key.tab
1726850074.941686,Key.cmd
1726850074.981678,Key.tab
1726850075.166425,Key.tab
1726850076.748884,Key.shift
1726850076.910957,L
1726850077.104544,o
1726850077.214529,r
1726850077.3522391,e
1726850077.462155,m
1726850077.591959,Key.space
1726850077.7430668,i
1726850078.024222,p
1726850078.186223,s
1726850078.316386,u
1726850078.512552,m
1726850078.68627,Key.space
1726850078.8283389,o
1726850078.935261,d
1726850079.110005,o
1726850079.208246,r
1726850079.302948,Key.space
1726850079.438536,a
1726850079.5286138,m
1726850079.6390452,e
1726850079.751913,t
1726850079.873433,","
1726850080.004905,Key.space
1726850080.202222,c
1726850080.3122802,o
1726850080.374822,n
1726850080.4782379,s
1726850080.5759392,e
1726850080.941531,c
1726850081.262224,t
1726850081.346381,e
1726850081.6530628,t
1726850081.904577,u
1726850082.0499089,e
1726850082.162648,r
1726850082.535924,Key.space
1726850082.8467588,a
1726850082.999041,d
1726850083.184107,i
1726850083.562756,p
1726850083.736366,i
1726850083.99695,s
1726850084.216274,c
1726850084.381088,i
1726850084.7089531,n
1726850084.805229,g
1726850084.9562082,Key.space
1726850085.051719,e
1726850085.167673,l
1726850085.277568,i
1726850085.3925629,t
1726850085.499734,.
1726850085.621786,Key.space
1726850085.783818,Key.shift
1726850085.885566,I
1726850086.047167,m
1726850086.200149,p
1726850086.3647559,e
1726850086.4479418,r
1726850086.63863,i
1726850087.3179688,Key.backspace
1726850087.536653,d
1726850087.661094,i
1726850087.753044,e
1726850088.010932,t
1726850088.137414,Key.space
1726850088.375204,i
1726850088.497761,n
1726850088.605771,t
1726850088.70228,e
1726850088.975393,g
1726850089.131986,e
1726850089.2143428,r
1726850089.350135,Key.space
1726850089.4999192,e
1726850089.7245078,x
1726850089.907326,Key.space
1726850090.087393,n
1726850090.18358,a
1726850090.260243,t
1726850090.392997,o
1726850090.782465,q
1726850091.001348,u
1726850091.129844,e
1726850092.323992,Key.space
1726850092.492042,s
1726850092.640672,e
1726850092.792015,m
1726850092.925465,p
1726850093.048948,e
1726850093.128555,r
1726850093.228061,Key.space
1726850093.3492732,s
1726850093.4679198,i
1726850093.6044319,t
1726850093.729791,.
1726850093.900809,Key.space
1726850094.136449,Key.shift
1726850094.330239,P
1726850094.614923,a
1726850094.7099571,r
1726850094.881152,t
1726850095.424955,u
1726850095.596229,r
1726850095.7009559,i
1726850095.936928,e
1726850096.0694559,n
1726850096.149697,t
1726850096.2969248,Key.space
1726850096.468065,e
1726850096.748432,t
1726850096.920888,i
1726850097.301017,a
1726850097.465479,m
1726850097.6433222,Key.space
1726850098.170815,e
1726850098.282957,u
1726850098.537078,s
1726850099.5710468,Key.backspace
1726850100.3068328,i
1726850100.658231,s
1726850101.033113,m
1726850101.144314,o
1726850101.28237,d
1726850101.8313699,Key.space
1726850102.055042,e
1726850102.2313118,s
1726850102.340619,t
1726850102.487937,Key.space
1726850102.668621,j
1726850103.106088,u
1726850103.228818,s
1726850103.3105211,t
1726850103.454928,o
1726850103.595847,Key.space
1726850103.8496351,n
1726850103.96273,i
1726850104.099684,s
1726850104.205986,i
1726850104.422337,Key.space
1726850104.6906612,c
1726850104.786453,o
1726850104.872295,n
1726850104.948611,s
1726850105.14489,e
1726850105.487591,q
1726850105.675516,u
1726850105.820616,a
1726850105.94665,t
1726850106.159053,Key.space
1726850106.405968,u
1726850106.526769,r
1726850106.64533,n
1726850106.736307,a
1726850106.878918,Key.space
1726850107.5036988,m
1726850107.661949,a
1726850107.884008,e
1726850108.564793,c
1726850109.376947,e
1726850109.7060091,n
1726850109.8337889,a
1726850110.0624142,s
1726850110.1984608,Key.space
1726850110.382505,l
1726850110.49103,a
1726850110.742095,c
1726850110.871063,i
1726850111.084547,n
1726850111.2970948,i
1726850111.5565891,a
1726850111.87801,.
1726850112.0474298,Key.space
1726850112.4862149,Key.shift
1726850112.632239,V
1726850112.848943,i
1726850113.13519,v
1726850113.7302232,a
1726850113.9585412,m
1726850114.160515,u
1726850114.3221009,s
1726850114.588418,Key.space
1726850114.943533,f
1726850115.0663328,i
1726850115.566377,n
1726850115.748119,i
1726850116.035821,b
1726850116.233595,u
1726850116.4209678,s
1726850116.721063,Key.space
1726850116.899869,t
1726850117.151714,e
1726850117.282506,m
1726850117.39848,p
1726850117.585842,u
1726850117.71996,s
1726850117.986759,Key.space
1726850118.161238,a
1726850118.288216,l
1726850118.420927,i
1726850118.923716,q
1726850119.115156,u
1726850119.7799659,e
1726850120.017401,t
1726850120.173994,Key.space
1726850120.41269,e
1726850120.73927,u
1726850121.3660228,i
1726850122.047712,s
1726850122.398946,m
1726850122.516927,o
1726850122.666552,d
1726850122.9005282,Key.shift
1726850122.9914691,;
1726850123.124733,Key.space
1726850123.2906802,s
1726850123.5109591,a
1726850123.704351,g
1726850123.8537111,i
1726850124.105868,t
1726850124.237518,t
1726850124.5445042,i
1726850124.7371662,s
1726850125.0307462,Key.space
1726850125.224401,p
1726850125.632246,a
1726850125.971618,Key.backspace
1726850126.2415612,e
1726850126.432522,n
1726850126.5886028,a
1726850126.990561,t
1726850127.120814,i
1726850127.361245,b
1726850127.535616,u
1726850127.639179,s
1726850127.8786712,.
1726850128.033416,Key.space
1726850128.1488461,Key.shift
1726850128.2832441,T
1726850128.566017,u
1726850128.6922061,r
1726850128.793823,i
1726850129.169255,Key.backspace
1726850129.423668,p
1726850129.667587,i
1726850129.8087418,s
1726850130.150959,Key.space
1726850130.362923,u
1726850130.514251,t
1726850130.63295,Key.space
1726850131.046465,b
1726850131.216734,l
1726850131.371219,a
1726850131.492497,n
1726850131.6854122,d
1726850131.753088,i
1726850131.934143,t
1726850132.022992,Key.space
1726850132.377706,o
1726850132.469553,r
1726850133.058901,c
1726850133.167346,i
1726850133.547039,Key.space
1726850133.685874,d
1726850133.830535,i
1726850133.944182,a
1726850134.077495,m
1726850134.1968908,Key.space
1726850134.477813,n
1726850134.6752698,u
1726850134.8373928,l
1726850134.968713,l
1726850135.135278,a
1726850135.256819,m
1726850135.6104891,.
1726850135.7490869,Key.space
1726850135.874621,Key.shift
1726850136.04048,V
1726850136.26595,e
1726850136.387174,l
1726850136.532782,i
1726850136.6490722,t
1726850136.913318,Key.space
1726850137.065567,e
1726850137.235435,u
1726850137.433538,s
1726850137.977076,Key.backspace
1726850138.167656,i
1726850138.308424,s
1726850138.6436539,o
1726850139.363991,Key.backspace
1726850139.567274,m
1726850139.9152892,o
1726850140.090213,d
1726850140.5743659,Key.space
1726850140.92719,p
1726850141.0788732,h
1726850141.222463,a
1726850141.362137,r
1726850141.792577,e
1726850142.0166059,t
1726850142.271611,r
1726850142.4028318,a
1726850142.5791528,Key.space
1726850142.710783,h
1726850142.8433301,a
1726850143.5648499,Key.backspace
1726850143.690148,Key.backspace
1726850143.836719,a
1726850143.947071,b
1726850144.1624472,i
1726850144.3411,t
1726850144.527196,a
1726850144.8600872,n
1726850144.983962,t
1726850145.0869088,Key.space
1726850145.3990898,p
1726850145.608953,u
1726850145.780758,l
1726850145.958882,v
1726850146.06092,i
1726850146.464682,n
1726850146.620169,a
1726850146.742762,r
1726850146.8841631,Key.space
1726850147.102514,a
1726850147.2296,l
1726850147.387331,i
1726850147.7702458,q
1726850147.932947,u
1726850148.4321349,a
1726850148.6572568,m
1726850148.8805702,.
1726850149.009683,Key.space
1726850149.191751,Key.shift
1726850149.269904,A
1726850149.477967,u
1726850149.5856798,g
1726850149.698215,e
1726850150.011921,Key.backspace
1726850150.1562371,u
1726850150.257045,e
1726850150.75164,Key.space
