Frame,keyboard-lt_x,keyboard-lt_y,keyboard-lb_x,keyboard-lb_y,keyboard-rt_x,keyboard-rt_y,keyboard-rb_x,keyboard-rb_y
0,103.32602262496948,285.38679242134094,200.41717529296875,423.58887523412704,668.8957214355469,166.73139095306396,831.7721557617188,255.4599380493164
4,90.2277660369873,300.73689222335815,219.8513889312744,445.28804540634155,650.1115036010742,156.15554809570312,828.4640121459961,242.4041247367859
8,81.84117078781128,318.5573387145996,247.7142333984375,466.16228342056274,627.5272750854492,146.5742039680481,819.8220634460449,228.50032567977905
12,79.71977233886719,338.1134104728699,283.98505210876465,484.3835163116455,601.6383361816406,138.68780136108398,805.7916069030762,214.57058429718018
16,85.1225209236145,358.213192820549,327.5329113006592,498.05615589022636,573.2797050476074,133.1234622001648,786.7941284179688,201.54380321502686
20,94.54741716384888,379.6625876426697,374.76945877075195,510.7825040817261,544.1144943237305,127.82662510871887,766.1631202697754,188.76073837280273
24,112.64071226119995,399.8375576734543,426.36056900024414,516.9530741125345,513.6050033569336,125.35833835601807,741.5617561340332,177.83737778663635
28,139.06066417694092,416.9547852873802,478.9690589904785,515.7967496663332,483.00378799438477,125.93151569366455,714.1549873352051,169.4758701324463
32,170.10971546173096,432.5339162349701,530.2907752990723,511.61133483052254,452.97240257263184,127.49661684036255,686.2321472167969,162.397381067276
36,206.6187286376953,444.47466015815735,578.6011505126953,502.3903749883175,423.9577388763428,131.11061453819275,657.4572372436523,157.5120484828949
40,247.386474609375,450.92605143785477,621.0964393615723,487.73754358291626,397.09221839904785,137.19093561172485,628.5409355163574,155.48577904701233
44,289.0473747253418,455.84744095802307,659.3418502807617,472.943417429924,371.4975643157959,143.30080389976501,600.5704307556152,154.0545094013214
48,331.63973808288574,456.2049928307533,690.9676551818848,455.5384826660156,348.36424827575684,150.8907687664032,573.4328842163086,154.69582557678223
52,373.20061683654785,453.10681611299515,716.2163543701172,437.30181634426117,327.7876281738281,159.2421054840088,547.7138900756836,156.80066227912903
56,413.18684577941895,448.9082309603691,737.3463821411133,420.0805538892746,308.69070053100586,167.4125862121582,523.2042503356934,159.21355605125427
60,450.2333164215088,441.10354989767075,751.8253898620605,402.3939388990402,292.84003257751465,176.37392163276672,500.5415725708008,163.24591398239136
64,485.20105361938477,434.0887901186943,764.3758392333984,386.82653188705444,277.6328659057617,184.54849004745483,478.861141204834,166.7420768737793
68,516.3931274414062,424.58339005708694,771.5489959716797,371.5129154920578,265.5051326751709,193.13321113586426,459.0945053100586,171.43940806388855
72,545.3446197509766,415.84602445364,777.2767639160156,357.9422789812088,254.0969181060791,201.08846068382263,440.2434825897217,175.71364760398865
76,570.4933547973633,405.7839024066925,779.1372871398926,345.10016798973083,245.31892776489258,209.08880352973938,423.18142890930176,180.71935772895813
80,593.8152694702148,396.72492921352386,780.3615760803223,333.7287712097168,236.97207927703857,216.51033639907837,406.7838764190674,185.2420449256897
84,613.7465858459473,387.07509219646454,778.8891220092773,323.19963097572327,230.80716133117676,223.7831997871399,391.9683837890625,190.1879847049713
88,631.8409538269043,378.07577669620514,776.7074775695801,313.74104619026184,225.34521102905273,230.64533114433289,377.8769874572754,194.88064885139465
92,647.4917221069336,369.20934319496155,773.1441879272461,305.149050951004,221.27154350280762,237.20803141593933,364.91251945495605,199.63118433952332
96,660.915641784668,360.5490803718567,768.4209251403809,297.35817790031433,218.49431991577148,243.46434831619263,352.9957580566406,204.40914273262024
100,673.1049156188965,352.5427186489105,763.513011932373,290.3275018930435,216.164231300354,249.38228845596313,341.57944679260254,208.93945813179016
104,683.3991050720215,344.7708195447922,757.7314567565918,283.9609622955322,214.99886512756348,255.00446677207947,331.11353874206543,213.48161816596985
108,692.1462821960449,337.3342716693878,751.3647651672363,278.203906416893,214.76562023162842,260.32982110977173,321.4306640625,217.9700267314911
112,699.9333572387695,330.3770452737808,744.8744773864746,272.9752403497696,214.99842166900635,265.38838148117065,312.1901035308838,222.29969143867493
116,706.7233085632324,323.81106197834015,738.1711578369141,268.2227575778961,215.80086708068848,270.19542038440704,303.4452152252197,226.51857018470764
120,712.5699806213379,317.591695189476,731.2403297424316,263.8974380493164,217.19304084777832,274.7675782442093,295.18409729003906,230.6474232673645
124,717.6614570617676,311.7155009508133,724.1765785217285,259.9428427219391,219.06286239624023,279.1341608762741,287.29628562927246,234.67801094055176
128,722.1421051025391,306.1645030975342,717.0363235473633,256.30666851997375,221.33235454559326,283.3267915248871,279.69085693359375,238.61255407333374
132,726.1225318908691,300.91274321079254,709.8494911193848,252.94137597084045,223.95001888275146,287.3784452676773,272.29190826416016,242.46054768562317
136,729.6907424926758,295.9301429986954,702.6281547546387,249.80286955833435,226.88255310058594,291.323561668396,265.0320339202881,246.2362825870514
140,732.9212379455566,291.1852240562439,695.3746604919434,246.84914588928223,230.10766983032227,295.1997023820877,257.8460884094238,249.9574613571167
144,735.8828544616699,286.6458320617676,688.0862617492676,244.0379762649536,233.60798835754395,299.0499812364578,250.66540718078613,253.64490866661072
148,738.7885665893555,282.2974509000778,680.866527557373,241.29858255386353,237.2184419631958,302.9588234424591,243.2962703704834,257.30557680130005
152,741.7584800720215,278.10115098953247,673.7412071228027,238.56459617614746,240.86763381958008,307.01556265354156,235.5988883972168,260.9706223011017
156,744.7107124328613,273.9894372224808,666.5834426879883,235.79948544502258,244.69871520996094,311.2785530090332,227.5861644744873,264.7025191783905
160,748.0556488037109,269.9438667297363,659.6405410766602,232.8550636768341,248.32895278930664,315.96428096294403,218.8547945022583,268.52112650871277
164,751.497688293457,265.8485198020935,652.6011085510254,229.7064507007599,252.15625762939453,321.1414968967438,209.5543098449707,272.5501209497452
168,755.233154296875,261.6347587108612,645.5490875244141,226.20497703552246,256.0381507873535,327.0607566833496,199.425687789917,276.87593936920166
172,758.7256622314453,257.1573257446289,637.9791641235352,222.36934304237366,260.7059955596924,333.75925183296204,188.80863189697266,281.6858106851578
176,761.9527244567871,252.3168933391571,629.8156929016113,218.08135986328125,266.31909370422363,341.4792984724045,177.62719631195068,287.13675677776337
180,764.2719268798828,246.98867440223694,620.5071258544922,213.40939164161682,273.8184642791748,350.20292043685913,166.36507987976074,293.44993114471436
184,765.5263137817383,241.0795533657074,609.9154472351074,208.27677011489868,283.60273361206055,360.12837052345276,155.13605117797852,300.8365738391876
188,765.0592231750488,234.52383756637573,597.5518226623535,202.80577182769775,296.72295570373535,371.1355447769165,144.59874629974365,309.52347099781036
192,762.5707054138184,227.2812294960022,583.2341194152832,197.0161271095276,313.8309860229492,383.233922123909,135.2025318145752,319.73546147346497
196,757.5551605224609,219.3728756904602,566.6655349731445,191.05962753295898,335.8404350280762,396.161053776741,127.76876449584961,331.65814876556396
200,749.560432434082,210.89430570602417,547.6360702514648,185.14220237731934,363.54618072509766,409.4663769006729,123.2990026473999,345.39237320423126
204,738.3420181274414,201.98311686515808,526.1040115356445,179.45204615592957,397.3703098297119,422.62632966041565,122.79476165771484,360.95783293247223
208,723.6529541015625,192.87459254264832,502.0685577392578,174.27825808525085,437.4785900115967,434.8100656270981,127.51489162445068,378.17404210567474
212,705.3710746765137,183.8948142528534,475.66308975219727,169.96413946151733,483.4768295288086,444.9701875448227,138.79802227020264,396.589520573616
216,683.6186599731445,175.40208220481873,447.2083854675293,166.82225346565247,534.1998481750488,452.08075046539307,157.74717807769775,415.49940794706345
220,658.7126541137695,167.76535034179688,417.1743965148926,165.1299512386322,587.7777671813965,455.25363206863403,185.08330821990967,433.9459866285324
224,631.1896133422852,161.2675380706787,386.1459445953369,165.03628849983215,641.8494987487793,454.049454331398,220.82036018371582,450.9124204516411
228,601.6373634338379,156.16153478622437,354.7591209411621,166.65176153182983,693.903636932373,448.34255307912827,264.3782901763916,465.2937385439873
232,570.7099342346191,152.61422753334045,323.68266105651855,169.99030709266663,741.5949440002441,438.45359444618225,314.43732261657715,476.1135149002075
236,539.0802955627441,150.63852310180664,293.5276794433594,174.92311477661133,783.1681251525879,425.1752033829689,369.02323722839355,482.81013920903206
240,507.34291076660156,150.13016939163208,264.7894763946533,181.2372386455536,817.642993927002,409.5208203792572,425.88475227355957,485.27241110801697
244,475.9606075286865,150.89521050453186,237.80641078948975,188.6765706539154,844.8109245300293,392.52129077911377,482.8546142578125,483.81578251719475
248,445.24280548095703,152.6947581768036,212.75861263275146,196.99005603790283,865.0595855712891,375.0585490465164,538.1353569030762,479.05007913708687
252,415.3590774536133,155.305438041687,189.7159767150879,205.98084211349487,879.0944480895996,357.7634507417679,590.4208374023438,471.6725090146065
256,386.3517379760742,158.49563598632812,168.61441612243652,215.4927921295166,887.841682434082,341.06327176094055,638.9271926879883,462.4500846862793
260,358.21675300598145,162.15134739875793,149.44474697113037,225.4785919189453,892.053165435791,325.1225656270981,683.1939125061035,451.89140528440475
264,331.0128593444824,166.31335258483887,132.40221977233887,235.9756100177765,892.1432876586914,309.94062423706055,722.8024291992188,440.17428517341614
268,304.77885246276855,170.98129749298096,117.62198209762573,246.99482202529907,888.6111259460449,295.5285519361496,757.5592803955078,427.5671035051346
272,279.5793914794922,176.18096351623535,105.28696775436401,258.549907207489,881.8741607666016,281.87133371829987,787.375373840332,414.2771816253662
