Frame,keyboard-lt_x,keyboard-lt_y,keyboard-lb_x,keyboard-lb_y,keyboard-rt_x,keyboard-rt_y,keyboard-rb_x,keyboard-rb_y
0,396.1787509918213,169.2815923690796,254.18938636779785,216.48220539093018,839.8734283447266,268.0648183822632,725.4838943481445,344.36570405960083
4,413.51569175720215,164.41190242767334,263.1962585449219,210.17210483551025,848.5991477966309,276.5800327062607,715.440616607666,353.9291203022003
8,431.9834518432617,160.37484526634216,274.05670166015625,204.0912365913391,854.765739440918,286.0796070098877,702.2867202758789,363.2001060247421
12,451.2556457519531,157.34252214431763,286.58440589904785,198.45325469970703,857.9138374328613,296.31285667419434,686.132926940918,371.77512288093567
16,470.9539318084717,155.44248819351196,300.5129814147949,193.45720052719116,857.6927375793457,306.9437223672867,667.2879981994629,379.2565870285034
20,490.67161560058594,154.74433064460754,315.51441192626953,189.26905989646912,853.9080047607422,317.57668018341064,646.2472915649414,385.2995878458023
24,510.0893783569336,154.18943524360657,330.95935821533203,185.23499608039856,847.3237037658691,328.4516966342926,623.9352607727051,390.9323877096176
28,528.9723587036133,154.6219253540039,346.8705081939697,181.9703507423401,837.3951530456543,338.923174738884,600.5645942687988,395.07047832012177
32,546.9639015197754,156.2110698223114,362.960786819458,179.6884560585022,824.2440032958984,348.4803628921509,576.7865180969238,397.3533868789673
36,563.7604522705078,158.8400638103485,378.8924789428711,178.38863611221313,808.3328247070312,356.7986923456192,553.3129119873047,397.8146517276764
40,579.7406387329102,160.89076280593872,394.33834075927734,176.72011971473694,791.191463470459,365.31910479068756,530.5893516540527,398.6481535434723
44,594.3873596191406,163.78281712532043,409.3439483642578,175.88391423225403,772.1488952636719,372.52609848976135,508.8984489440918,397.96027958393097
48,607.5159072875977,167.44892477989197,423.69163513183594,175.89282989501953,751.7654800415039,378.1952530145645,488.68228912353516,395.82509100437164
52,620.2125549316406,169.97434258460999,437.43178367614746,174.8851990699768,731.631031036377,384.961114525795,469.5512580871582,395.1219767332077
56,631.5511322021484,173.17847728729248,450.53847312927246,174.58097219467163,710.7416725158691,390.38848400115967,451.93485260009766,393.2452619075775
60,642.626895904541,175.43150067329407,463.07061195373535,173.30027103424072,690.593318939209,397.0426744222641,435.3406047821045,392.7243232727051
64,653.0707740783691,177.75678277015686,475.2084445953369,171.97557091712952,670.3146171569824,403.6329746246338,419.7517204284668,392.1201664209366
68,664.3477821350098,178.23031067848206,486.89186096191406,168.48973989486694,652.0440673828125,413.63716900348663,404.5378589630127,394.50188755989075
72,675.8690071105957,178.051997423172,498.1597137451172,164.00796175003052,634.9346351623535,425.3620460629463,389.87568855285645,398.1179451942444
76,688.1106376647949,177.05608248710632,509.1987991333008,158.2028353214264,619.0636825561523,439.532011449337,375.34435272216797,403.3628976345062
80,701.19873046875,175.05746126174927,519.8038101196289,150.90155124664307,605.1485824584961,456.4883789420128,360.9822177886963,410.5355644226074
84,714.9825668334961,172.87489414215088,530.3964614868164,142.83326268196106,591.8360710144043,475.19819900393486,346.508846282959,418.4916105866432
