timestamp,key-name,key-char,key-vk,event-type,duration
1728121914.307488,shift,,56,key down,
1728121914.8319738,,F,3,key down,
1728121914.9048939,,F,3,key up,0.07292008399963379
1728121914.965373,shift,,56,key up,0.6578850746154785
1728121916.827342,,a,0,key down,
1728121916.931956,,a,0,key up,0.1046140193939209
1728121917.65212,,r,15,key down,
1728121917.741475,,r,15,key up,0.0893549919128418
1728121919.5720088,space,,49,key down,
1728121919.675312,space,,49,key up,0.10330319404602051
1728121920.307466,,f,3,key down,
1728121920.381678,,f,3,key up,0.07421207427978516
1728121920.3968651,,a,0,key down,
1728121920.502069,,a,0,key up,0.10520386695861816
1728121920.5924218,,r,15,key down,
1728121920.666066,,r,15,key up,0.07364416122436523
1728121920.8774478,space,,49,key down,
1728121920.9669602,space,,49,key up,0.08951234817504883
1728121921.2074938,,a,0,key down,
1728121921.357225,,a,0,key up,0.14973115921020508
1728121921.4618392,,w,13,key down,
1728121921.566922,,w,13,key up,0.10508275032043457
1728121921.656842,,a,0,key down,
1728121921.7761831,,a,0,key up,0.11934113502502441
1728121922.36211,,y,6,key down,
1728121922.467097,,y,6,key up,0.10498714447021484
1728121923.860061,space,,49,key down,
1728121923.996926,space,,49,key up,0.13686513900756836
1728121924.492225,backspace,,51,key down,
1728121924.58214,backspace,,51,key up,0.08991503715515137
1728121925.001695,,",",43,key down,
1728121925.092159,,",",43,key up,0.09046411514282227
1728121925.181823,space,,49,key down,
1728121925.287193,space,,49,key up,0.10537004470825195
1728121925.7372422,,b,11,key down,
1728121925.842179,,b,11,key up,0.10493683815002441
1728121925.93256,,e,14,key down,
1728121926.022111,,e,14,key up,0.08955097198486328
1728121926.142806,,h,4,key down,
1728121926.23263,,h,4,key up,0.08982396125793457
1728121926.3974762,,i,34,key down,
1728121926.502275,,i,34,key up,0.10479879379272461
1728121926.652273,,n,45,key down,
1728121926.742156,,n,45,key up,0.08988308906555176
1728121927.102119,,d,2,key down,
1728121927.1921659,,d,2,key up,0.09004688262939453
1728121927.777299,space,,49,key down,
1728121927.867187,space,,49,key up,0.08988809585571289
1728121928.362331,,t,17,key down,
1728121928.481638,,t,17,key up,0.11930704116821289
1728121928.5725398,,h,4,key down,
1728121928.677702,,h,4,key up,0.10516214370727539
1728121928.812702,,e,14,key down,
1728121928.917081,,e,14,key up,0.10437917709350586
1728121929.0823839,space,,49,key down,
1728121929.186999,space,,49,key up,0.1046152114868164
1728121929.321286,,w,13,key down,
1728121929.441304,,w,13,key up,0.12001800537109375
1728121929.547164,,o,31,key down,
1728121929.637281,,o,31,key up,0.09011697769165039
1728121929.757371,,r,15,key down,
1728121929.8622599,,r,15,key up,0.104888916015625
1728121930.085688,,d,2,key down,
1728121930.177731,,d,2,key up,0.09204292297363281
1728121930.927328,space,,49,key down,
1728121931.047106,space,,49,key up,0.11977791786193848
1728121931.5422819,,m,46,key down,
1728121931.647211,,m,46,key up,0.10492920875549316
1728121931.767295,,o,31,key down,
1728121931.842326,,o,31,key up,0.07503104209899902
1728121932.0225658,,u,32,key down,
1728121932.1122901,,u,32,key up,0.08972430229187012
1728121932.230488,,n,45,key down,
1728121932.320214,,n,45,key up,0.08972597122192383
1728121932.592739,,t,17,key down,
1728121932.681053,,t,17,key up,0.08831381797790527
1728121932.847372,,a,0,key down,
1728121932.9674208,,a,0,key up,0.12004876136779785
1728121933.0575628,,i,34,key down,
1728121933.130125,,i,34,key up,0.07256221771240234
1728121933.252293,,n,45,key down,
1728121933.3423302,,n,45,key up,0.09003710746765137
1728121933.672381,,s,1,key down,
1728121933.792585,,s,1,key up,0.12020397186279297
1728121934.902715,,",",43,key down,
1728121935.007724,,",",43,key up,0.10500907897949219
1728121935.09728,space,,49,key down,
1728121935.17222,space,,49,key up,0.07493996620178223
1728121935.397433,,f,3,key down,
1728121935.485792,,f,3,key up,0.08835887908935547
1728121935.500428,,a,0,key down,
1728121935.620806,,a,0,key up,0.12037801742553711
1728121935.682423,,r,15,key down,
1728121935.7710788,,r,15,key up,0.08865571022033691
1728121937.346378,space,,49,key down,
1728121937.437222,space,,49,key up,0.09084391593933105
1728121937.782461,,f,3,key down,
1728121937.9016802,,f,3,key up,0.11921930313110352
1728121937.977391,,r,15,key down,
1728121938.082433,,r,15,key up,0.1050419807434082
1728121938.772994,,o,31,key down,
1728121938.8624818,,o,31,key up,0.08948779106140137
1728121938.937369,,m,46,key down,
1728121939.042839,,m,46,key up,0.10546994209289551
1728121939.117711,space,,49,key down,
1728121939.222551,space,,49,key up,0.10484004020690918
1728121939.281448,,t,17,key down,
1728121939.402248,,t,17,key up,0.12080001831054688
1728121939.417484,,h,4,key down,
1728121939.4924622,,h,4,key up,0.07497811317443848
1728121939.717688,,e,14,key down,
1728121939.822525,,e,14,key up,0.10483694076538086
1728121941.082569,space,,49,key down,
1728121941.216413,space,,49,key up,0.13384413719177246
1728121941.667514,,c,8,key down,
1728121941.757181,,c,8,key up,0.08966684341430664
1728121941.817728,,o,31,key down,
1728121941.922587,,o,31,key up,0.1048588752746582
1728121942.087626,,u,32,key down,
1728121942.177483,,u,32,key up,0.08985710144042969
1728121942.311502,,n,45,key down,
1728121942.400355,,n,45,key up,0.08885312080383301
1728121942.507634,,t,17,key down,
1728121942.612968,,t,17,key up,0.10533404350280762
1728121942.928009,,r,15,key down,
1728121943.047607,,r,15,key up,0.1195979118347168
1728121943.1075919,,i,34,key down,
1728121943.1955252,,i,34,key up,0.08793330192565918
1728121943.31665,,e,14,key down,
1728121943.422644,,e,14,key up,0.10599398612976074
1728121943.5559192,,s,1,key down,
1728121943.6473541,,s,1,key up,0.09143495559692383
1728121943.903102,space,,49,key down,
1728121944.008,space,,49,key up,0.10489797592163086
1728121944.622804,shift_r,,60,key down,
1728121944.923716,,V,9,key down,
1728121945.025547,,V,9,key up,0.10183095932006836
1728121945.0263581,shift_r,,60,key up,0.40355420112609863
1728121947.037709,,o,31,key down,
