timestamp,key-name,key-char,key-vk,event-type,duration
1727658732.944562,cmd,,55,key down,
1727658733.011043,tab,,48,key down,
1727658733.106119,tab,,48,key up,0.09507584571838379
1727658733.2189708,tab,,48,key down,
1727658733.32928,tab,,48,key up,0.11030912399291992
1727658733.642296,tab,,48,key down,
1727658733.75025,tab,,48,key up,0.10795402526855469
1727658733.759768,cmd,,55,key up,0.8152060508728027
1727658736.034409,shift,,56,key down,
1727658736.184394,,F,3,key down,
1727658736.246125,shift,,56,key up,0.2117159366607666
1727658736.395709,,a,0,key down,
1727658736.4754481,,r,15,key down,
1727658736.5211148,,a,0,key up,0.12540578842163086
1727658736.5607412,,r,15,key up,0.08529305458068848
1727658736.6040761,space,,49,key down,
1727658736.687634,space,,49,key up,0.0835578441619873
1727658736.737334,,f,3,key down,
1727658736.817479,,f,3,key up,0.08014488220214844
1727658736.8995671,,a,0,key down,
1727658736.974667,,r,15,key down,
1727658737.034431,,a,0,key up,0.13486385345458984
1727658737.0856152,,r,15,key up,0.11094808578491211
1727658737.086207,space,,49,key down,
1727658737.165975,space,,49,key up,0.07976818084716797
1727658737.191746,,w,13,key down,
1727658737.3069582,,w,13,key up,0.11521220207214355
1727658737.659172,backspace,,51,key down,
1727658737.713679,backspace,,51,key up,0.05450701713562012
1727658737.7437,,a,0,key down,
1727658737.8589618,,a,0,key up,0.11526179313659668
1727658737.933704,,w,13,key down,
1727658737.998511,,w,13,key up,0.06480717658996582
1727658738.096601,,a,0,key down,
1727658738.198637,,a,0,key up,0.1020359992980957
1727658738.303679,,y,6,key down,
1727658738.396401,,y,6,key up,0.09272193908691406
1727658738.476251,,",",43,key down,
1727658738.565593,,",",43,key up,0.08934211730957031
1727658738.5706701,space,,49,key down,
1727658738.626983,space,,49,key up,0.05631279945373535
1727658738.724501,,b,11,key down,
1727658738.790136,,b,11,key up,0.06563520431518555
1727658738.844815,,e,14,key down,
1727658738.913606,,e,14,key up,0.06879091262817383
1727658738.935236,,h,4,key down,
1727658738.995668,,h,4,key up,0.06043195724487305
1727658739.0923688,,i,34,key down,
1727658739.147755,,i,34,key up,0.05538606643676758
1727658739.209661,,n,45,key down,
1727658739.2892768,,n,45,key up,0.07961583137512207
1727658739.3326201,,d,2,key down,
1727658739.388604,,d,2,key up,0.055983781814575195
1727658739.437378,space,,49,key down,
1727658739.501057,space,,49,key up,0.06367897987365723
1727658739.5371468,,t,17,key down,
1727658739.609049,,t,17,key up,0.07190227508544922
1727658739.617376,,h,4,key down,
1727658739.684574,,h,4,key up,0.06719779968261719
1727658739.709557,,e,14,key down,
1727658739.77686,,e,14,key up,0.06730294227600098
1727658739.7934139,space,,49,key down,
1727658739.873291,space,,49,key up,0.07987713813781738
1727658740.1753101,,w,13,key down,
1727658740.248116,,w,13,key up,0.07280588150024414
1727658740.276192,,o,31,key down,
1727658740.339523,,o,31,key up,0.06333112716674805
1727658740.37685,,r,15,key down,
1727658740.4276102,,r,15,key up,0.05076026916503906
1727658740.5303779,,d,2,key down,
1727658740.605037,,d,2,key up,0.07465910911560059
1727658740.635493,space,,49,key down,
1727658740.6960058,space,,49,key up,0.06051278114318848
1727658740.750293,,m,46,key down,
1727658740.813317,,m,46,key up,0.06302404403686523
1727658740.8538802,,o,31,key down,
1727658740.943724,,o,31,key up,0.08984375
1727658740.996947,,u,32,key down,
1727658741.0528388,,u,32,key up,0.05589175224304199
1727658741.156755,,n,45,key down,
1727658741.234232,,n,45,key up,0.07747697830200195
1727658741.253867,,t,17,key down,
1727658741.3402848,,t,17,key up,0.08641791343688965
1727658741.409736,,a,0,key down,
1727658741.50048,,a,0,key up,0.0907440185546875
1727658741.51038,,i,34,key down,
1727658741.554749,,i,34,key up,0.04436898231506348
1727658741.599479,,n,45,key down,
1727658741.6786199,,n,45,key up,0.07914090156555176
1727658741.697767,,s,1,key down,
1727658741.7966,,s,1,key up,0.09883308410644531
1727658741.910314,,",",43,key down,
1727658741.991018,,",",43,key up,0.0807039737701416
1727658742.059623,space,,49,key down,
1727658742.139924,space,,49,key up,0.08030104637145996
1727658743.0784051,,f,3,key down,
1727658743.1547751,,f,3,key up,0.0763700008392334
1727658743.4683268,,a,0,key down,
1727658743.581449,,a,0,key up,0.11312222480773926
1727658743.589758,,r,15,key down,
1727658743.665739,,r,15,key up,0.07598114013671875
1727658743.7519329,space,,49,key down,
1727658743.8267908,space,,49,key up,0.07485795021057129
1727658743.898058,,f,3,key down,
1727658743.9540732,,f,3,key up,0.0560152530670166
1727658744.041205,,r,15,key down,
1727658744.101026,,r,15,key up,0.059821128845214844
1727658744.115536,,o,31,key down,
1727658744.183583,,o,31,key up,0.06804704666137695
1727658744.198914,,m,46,key down,
1727658744.284555,,m,46,key up,0.08564090728759766
1727658744.310851,space,,49,key down,
1727658744.371485,space,,49,key up,0.06063389778137207
1727658744.4135628,,t,17,key down,
1727658744.4914591,,t,17,key up,0.0778963565826416
1727658744.54211,,h,4,key down,
1727658744.596344,,h,4,key up,0.05423402786254883
1727658744.620982,,e,14,key down,
1727658744.683085,,e,14,key up,0.0621030330657959
1727658744.6982589,space,,49,key down,
1727658744.803643,space,,49,key up,0.10538411140441895
1727658744.860343,,c,8,key down,
1727658744.926723,,c,8,key up,0.06638002395629883
1727658744.948662,,o,31,key down,
1727658744.998694,,o,31,key up,0.05003190040588379
1727658745.045883,,u,32,key down,
1727658745.0961962,,u,32,key up,0.05031323432922363
1727658745.209283,,n,45,key down,
1727658745.274753,,n,45,key up,0.06546998023986816
1727658745.3189912,,t,17,key down,
1727658745.379206,,t,17,key up,0.06021475791931152
1727658745.4595141,,r,15,key down,
1727658745.538025,,r,15,key up,0.07851076126098633
1727658745.5888362,,i,34,key down,
1727658745.662334,,i,34,key up,0.07349777221679688
1727658745.689742,,e,14,key down,
1727658745.75614,,e,14,key up,0.06639790534973145
1727658745.8577762,,s,1,key down,
1727658745.929486,,s,1,key up,0.07170987129211426
1727658745.95705,space,,49,key down,
1727658746.03597,space,,49,key up,0.07891988754272461
1727658746.2710679,shift,,56,key down,
1727658746.40333,,V,9,key down,
1727658746.4631271,shift,,56,key up,0.19205927848815918
1727658746.525573,,o,31,key down,
1727658746.59333,,o,31,key up,0.06775689125061035
1727658746.768299,,k,40,key down,
1727658746.83978,,k,40,key up,0.07148098945617676
1727658747.0701609,,a,0,key down,
1727658747.1502101,,a,0,key up,0.08004927635192871
1727658747.188307,,l,37,key down,
1727658747.2496698,,l,37,key up,0.06136274337768555
1727658747.3400261,,i,34,key down,
1727658747.40112,,i,34,key up,0.061093807220458984
1727658747.5233002,,a,0,key down,
1727658747.6076732,,a,0,key up,0.08437299728393555
1727658747.8254879,space,,49,key down,
1727658747.9102058,space,,49,key up,0.08471798896789551
1727658748.102725,shift,,56,key down,
1727658748.236338,,C,8,key down,
1727658748.329004,shift,,56,key up,0.22627902030944824
1727658748.430356,,o,31,key down,
1727658748.492125,,o,31,key up,0.06176900863647461
1727658748.517091,,n,45,key down,
1727658748.593514,,n,45,key up,0.07642292976379395
1727658748.630156,,s,1,key down,
1727658748.705369,,s,1,key up,0.07521295547485352
1727658748.908942,,o,31,key down,
1727658748.979415,,o,31,key up,0.07047295570373535
1727658749.124465,,n,45,key down,
1727658749.190677,,n,45,key up,0.06621193885803223
1727658749.2848089,,a,0,key down,
1727658749.365911,,a,0,key up,0.08110213279724121
1727658749.607297,,n,45,key down,
1727658749.681904,,n,45,key up,0.07460713386535645
1727658749.8049989,,t,17,key down,
1727658749.8815832,,t,17,key up,0.0765843391418457
1727658749.924754,,i,34,key down,
1727658749.996012,,i,34,key up,0.0712580680847168
1727658750.845911,,a,0,key down,
1727658750.932815,,a,0,key up,0.08690404891967773
1727658751.196991,,",",43,key down,
1727658751.287555,,",",43,key up,0.09056401252746582
1727658751.317855,space,,49,key down,
1727658751.377725,space,,49,key up,0.059870004653930664
1727658751.528844,,t,17,key down,
1727658751.590234,,t,17,key up,0.061389923095703125
1727658751.609535,,h,4,key down,
1727658751.667569,,h,4,key up,0.05803394317626953
1727658751.707859,,e,14,key down,
1727658751.771727,,e,14,key up,0.06386804580688477
1727658751.772457,,r,15,key down,
1727658751.8733969,,e,14,key down,
1727658751.876183,,r,15,key up,0.10372614860534668
1727658751.942049,,e,14,key up,0.06865215301513672
1727658751.9618719,space,,49,key down,
1727658752.036761,space,,49,key up,0.0748891830444336
1727658752.0918982,,l,37,key down,
1727658752.1552262,,l,37,key up,0.06332802772521973
1727658752.2231932,,i,34,key down,
1727658752.284666,,i,34,key up,0.06147289276123047
1727658752.323134,,v,9,key down,
1727658752.384598,,e,14,key down,
1727658752.392889,,v,9,key up,0.06975507736206055
1727658752.454993,,e,14,key up,0.07039499282836914
1727658752.486474,space,,49,key down,
1727658752.563613,space,,49,key up,0.07713890075683594
1727658752.6100311,,t,17,key down,
1727658752.663601,,t,17,key up,0.053569793701171875
1727658752.68033,,h,4,key down,
1727658752.7574568,,h,4,key up,0.07712674140930176
1727658752.781694,,e,14,key down,
1727658752.851042,,e,14,key up,0.06934809684753418
1727658752.961513,space,,49,key down,
1727658753.083628,space,,49,key up,0.12211489677429199
1727658753.232748,,b,11,key down,
1727658753.2960262,,b,11,key up,0.0632781982421875
1727658753.408813,,l,37,key down,
1727658753.4751868,,l,37,key up,0.06637382507324219
1727658753.572372,,i,34,key down,
1727658753.621768,,i,34,key up,0.04939603805541992
1727658753.678215,,n,45,key down,
